"","sort(table(cc$values), decreasing = TRUE)"
"MillerGinaL",1
"MillerJamesN",1
"MilletteJamesL",1
"Mills",1
"millscd@stategoV",1
"MillscD@stategov",1
"MillsCD@stategove",1
"MillsCD@stategovi",1
"MillsCD@stategovl",1
"MillsCheryl!SullivanJacob",1
"MillsCherylID",1
"misciagnoKirbyMichaelD",1
"MitchellAndrewB",1
"MitchellDerek]",1
"MitchellDerekJ",1
"mitchellg@stategov",1
"MolnarErinM",1
"MoloneyKittsMicheleA",1
"monicahanle",1
"monicahanleYHanleyMonicaR",1
"monicahanleYHumaAbedin",1
"monicahanleyrussorv@stategov",1
"MooreDonaldL",1
"MorganJackA",1
"MorrisJoshuaC",1
"MorrisonChristopherA",1
"MorrisonGregoryR",1
"mreMorganG",1
"mspencejtierHolbrookeRichardC",1
"mspenceWenHolbrookeRichardC",1
"msteenburg",1
"MuenchSandraM",1
"mulet__DidierLEBRET",1
"MullStephen",1
"munterCameronP",1
"MuradEshelWilliam",1
"MurphyPhilipDUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"MurphyRuthL",1
"mvwcarpenterToivNoraF",1
"NairobiPOLCORE",1
"NajjarHagarH",1
"NamdeJoyceW",1
"NancyVictorino",1
"NardiMargaretH",1
"natarshawright",1
"natarshawrightI",1
"NawabAhmedE",1
"NEAFODL",1
"NEAMAGDL",1
"NEAPressDL",1
"NEARMADL",1
"NEAStaffAssistantsDLcialAssistants",1
"NEAStaffUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"NellisJonathanJ",1
"NelsonDavidD",1
"NepalRohit",1
"NesheiwatJulia",1
"NEWSAfghanistan",1
"NEWSEUR",1
"NEWSH",1
"NEWSLibya",1
"NEWSNEA",1
"NEWSRussia",1
"NEWSSC",1
"NEWSSudan",1
"NightengaleCoreyX",1
"NolanEdwinR",1
"nolanse@stategov",1
"NoorAliSehreenI",1
"NooryLidaS",1
"NormanVerity",1
"NoronhaJenniferW",1
"NoseFrankA",1
"NovakLisa",1
"NoyesJubetaValls",1
"NulandVictoria]",1
"NulandVictoriaHammerMichaelA",1
"NulandVictoriaSullivanJacob",1
"NystromDwightD",1
"OBrienJohn",1
"OBrienJohngailfritzinger",1
"OBrienVincent",1
"OConnorJenniferPowellBenjamin",1
"OhadCohen",1
"OhtagaldJohna",1
"OliveAlexisS",1
"OLoughlinNeal",1
"OlsonMichael]",1
"ONeilChristopherLCDR",1
"ONeillMaura",1
"OpsTargeted_Alerts_DS_DL",1
"OrjalesRodolfo",1
"OrtizMichaelKammererChelseaMilakofskyBenjaminELuChristopherP",1
"OscarFloresAttachmentsJointStatementonBPCStatusdocImportanceHighAttachedisthejointstatementontheUSRussianCommissionthatjustwentoutBillBurnsandJacobcleareditbutwanteditsenttoyouasanfyiaswellOscarcanuprintaswellUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"OscarFloresNorwegianfmstoeresetforamCallsheethasbeenfaxedUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"OscarFloresOpswillconnecttorndonilontoresidenceatpmfornonsecurecallfliUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"OscarFloresSenatorkerryaskingtotalkAsyouknowheisoverseasHesavailablethisamopscanconnectwhevenverucallinUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"OscarFloresTomdonilonaskingtohaveasecurecallwithyouWhencanudoit?InnUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"OscarFloresUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"OscarFloresYoushouldleaveatamtomorrowforpmshuttleUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"oterom",1
"PaetzoldKariA",1
"PAFOCore",1
"PAFOGroup",1
"PalaiaThomas",1
"ParkerEmily",1
"ParrisMark",1
"PARRU",1
"PascualCarlos",1
"PatelShraddha",1
"PattariniDanielM",1
"PaulFarmerJennieBlock",1
"PaulOBrien",1
"Paulweisenfeld",1
"PavelBarryS",1
"PawlyszynAlejandra",1
"PeaseLeahM",1
"PefiaLaura",1
"PennSteve",1
"PerryElizabethL",1
"PerryMark_DP_RandolphLawrenceM",1
"PerryMarkDRandolphLawrenceMAiers",1
"PerryMarkDRandolphLawrers",1
"PerryMarkIDRandolphLawrencelgiers",1
"PeterBrennan",1
"PfburnerWalterN",1
"PfeifferDanaEalonsCoreyA",1
"PhelanDonnaA",1
"PhilbinChristoher",1
"PierceThomasJN",1
"PierceThomasN",1
"PIR",1
"PittmanSaynoraD",1
"PittmanSusanR",1
"PJ",1
"PlackDavid",1
"PlechowskiJonE",1
"PletukhinaIrma",1
"PlumeAbedin",1
"PolaschikJA@stategovi",1
"PolaskiSandraILAB",1
"PomperStephen",1
"PonemanDania",1
"PopalMustafaM",1
"posnermhKohHaroldHongju",1
"PottsJamesH",1
"PoundsTimothyJ",1
"PovenmireSusanL",1
"PowerSamantha",1
"PowerSamanthaJ",1
"preinesCherylMills",1
"preinespvervee",1
"preinesSchwerinDanielB",1
"PricePennyL",1
"PrideMargaret",1
"Principles_Design_WorkingDraftpdfHRCIamattachingamatrixofpriorlanguagethathasbeenusedinconnectionwiththemajorIsraeliPalestinianissuesItwaspreparedinthecontextoflanguagetheUSmightuseifitweretoarticulateprinciplesnotprinciplestowhichthepartiesmightagreebutitprovidesmostofthelanguagethathasbeenusedinthepastwithcitationsTheUSIPMiddleEastgroupSteveandIchairdecidedthatratherthanissueastaticreportwewouldprepare/commissionaseriesoftimelyandspecificpapersthatwewouldprovideprivatelytotheAdministrationAsyouknowAbbaspositioniscrumblingBasedonmyconversationwithhimwhenhewashererecentlyIthinkheisgenuinelycommittedtoanagreementHehopesthatifthisfailsBibiwillseemtobeunreasonableAndinthateventIexpecthewillresignHisminimalrequirementistheequivalentofThisisalltrickybusinessbutIdontthinkwehavearesponsiblechoicenottomakethiseffortItisthehighestformofstatesmanshipforyoutotryIamleavingonMondayforsomeforeigntravelbutcanbereachedthroughmyofficeLauraHuberSandyUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"PRS_Issues",1
"psolisdovle",1
"PVerveer",1
"RabbiMarvinHier",1
"RabensAndrewC",1
"RachmanDanielA",1
"RamamurthyPradeep%McDonoughDenisR",1
"RamotowskiEdward",1
"RAMSAYJAIME",1
"RAMSAYJAIMETi",1
"RAMSAYJAIMEVBrassaniniDavidG",1
"RandolphLawrenceMAlgiers",1
"RandolphLawrenceMAliers",1
"RannebergerMichaelE",1
"RappLaurelT",1
"RathburnThomasG",1
"RatneyMichaelAUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"RayTerrillW",1
"RCH_Comms",1
"ReedJG@stategov",1
"ReganMichaelB",1
"ReifsnyderDanielA",1
"ReillyPatrickK",1
"ReinesPhilippeIWhostoblameforthecontinuedfailureoftheMiddleEastpeaceprocess?FormerPresidentBillClintonsaidtodaythatitisIsraeliPrimeMinisterBenjaminNetanyahuwhosegovernmentmovedthegoalpostsupontakingpowerandwhoseriserepresentsakeyreasontherehasbeennoIsraeliPalestinianpeacedealClintoninaroundtablewithbloggerstodayonthesidelinesoftheClintonGlobalInitiativeinNewYorkgaveanextensiverecountingofthedeteriorationintheMiddleEastpeaceprocesssincehepressedbothpartiestoagreetoafinalsettlementatCampDavidinHesaidtherearetwomainreasonsforthelackofacomprehensivepeacetodaythereluctanceoftheNetanyahuadministrationtoacceptthetermsoftheCampDaviddealandademographicshiftinIsraelthatismakingtheIsraelipubliclessamenabletopeaceThetwogreattragediesinmodernMiddleEasternpoliticswhichmakeyouwonderifGodwantsMiddleEastpeaceornotwereputupthedealthatwasofferedtothembeforemydealthattheywouldtakeitClintonsaidreferringtotheCampDaviddealthatYasserArafatrejectedButtheIsraeligovernmenthasdriftedalongwayfromtheEhudBarakledgovernmentthatcamesoclosetopeaceinClintonsaidandanynewnegotiationswiththeNetanyahugovernmentarenowonstarklydifferenttermstermsthatthePalestiniansareunlikelytoacceptForreasonsthatevenafteralltheseyearsIstilldontknowforsureArafatturneddownthedealIputtogetherthatBarakacceptedhesaidButtheyalsohadanIsraeligovernmentthatwaswillingtogivethemEastJerusalemasthecapitalofthenewstateofPalestineIsraelalsowantsanormalizationofrelationswithitsArabneighborstoaccompanyapeacedealClintonsaidthattheSaudiinspiredArabPeaceInitiativeputforthinrepresentedananswertothatIsraelidemandTheKingofSaudiArabiastartedliningupalltheArabcountriestosaytotheIsraelisifyouworkitoutwiththePalestinianswewillgiveyouimmediatelynotonlyrecognitionbutapoliticaleconomicandsecuritypartnershipClintonsaidThisishugeItsaheckofadealTheNetanyahugovernmenthasreceivedalloftheassurancespreviousIsraeligovernmentssaidtheywantedbutnowwontacceptthosetermstomakepeaceClintonsaidUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"ResideJulieM",1
"RestrepoDanHumaAbedin",1
"RibeiroYemofioYvonneYUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"RicciAnthonyP",1
"RicciardoneFrancisJ",1
"RichardDonaF",1
"RichardElizabeth",1
"RiesMarcieB",1
"RivaGeogheganMargaritaM",1
"roberthunte",1
"RobertsGuinnevereE",1
"RobertsonThomasB",1
"robertwaller@nsseopgov",1
"RobinsonBrooksA",1
"RodriguezAlberto",1
"RodriguezCiampoliFabiola",1
"RodriguezMiguelEAnnStockwasjustconfirmedbytheSenateUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"RosenstockMatthew",1
"RosenthalHannah",1
"RoskampPhilipW",1
"RosnerJeremyD",1
"Rossommyeid",1
"rownSullivanJacob",1
"RubinBarnettR",1
"RubinEric",1
"RudmanM@stategov",1
"RuggieroFrankJSinghVikramJ",1
"RussellbanielA",1
"Russoniov",1
"Russorv@stateov",1
"Russory@stategov",1
"russorystateov",1
"ruthgold",1
"S_SpecIalAssistants",1
"S_SpecialAssistantsUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"S_SpecialAssistarits",1
"S_SpecialAsslstants",1
"S_SpeclalAssigants",1
"SalyerAllison",1
"Samantha_J_Powerdrestrepo",1
"Samantha_l_Powei_SchrepelDawnM",1
"Samantha_l_Powerdrestrepo",1
"samanthaj_power",1
"SamanthaPower›",1
"SamDaleHarrisJoanneCarter",1
"SamDaleyHarris",1
"SamuelBergerAttachmentsPrinciples_Design_WorkingDraftpdf",1
"SandersCorinaR",1
"SandraNoelKenelPierre",1
"SandyNadeau",1
"Satterfieldgerard",1
"SaudiWomenforDrivingDpst___kycpJ_Z",1
"SCAINDIAONLYDL",1
"SchamingJennifer",1
"ScheibeLauraK",1
"SchelandMarkDL",1
"SchiebelRussellA",1
"SchlachterMarkM",1
"SchlicherRonald",1
"SchlicherRonaldKennaLisaD",1
"SchlIcherRonaldL",1
"SchmonseesWilliam",1
"SchonanderCE@stategov",1
"SchwartzLarryFt/PPR",1
"ScottMarianneC",1
"Se!lidoMichaelP",1
"SeagrovesCliftonC",1
"SeanMisko",1
"seansharifi_",1
"SearsTanyaS",1
"SeIlittoMichaelP",1
"SellittoMichaelP",1
"SergentTalleyUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"ServelloAlyssaN",1
"SES__OS",1
"SES_hiftII",1
"SES_PutyDeputies",1
"SES_ShiftI",1
"SES_ShiftII",1
"SES_ShiftIII",1
"SES‘OS",1
"SESCMS",1
"SESO_SCalls",1
"SESO_ShIftH",1
"SESO_ShiftIIPSES_",1
"SESO_ShiftIl",1
"SESO_Shiftll",1
"SESO_ShiltIII",1
"SESO_ShittI",1
"SESOOS",1
"SESOShift",1
"SESOShiftII",1
"SESOShiftIll",1
"SESOSwantsendoffightingLibyanenvoy",1
"SESQShiftI",1
"SESShIftI",1
"SESShit",1
"SESShlftI",1
"SESSWOa",1
"SESWO",1
"SFS",1
"sgrationGrationJonathanS",1
"ShahRajivPavelBarryS",1
"ShahRaljiv",1
"ShahShivamMa!lick",1
"ShakirDeenaS",1
"ShannpaineNicoleD",1
"shapiroa@stategov",1
"shapiroaj@stategov",1
"ShapiroJeremyworkoneconomicissuesliquidityandpaymentstothuwarandmartyrfamiliesandpreparefortheelectionItwillnotbeabletoundertakemajordecisionssuchasapprovingnewoilleasesrebuildinginfrastructureorsettingoutnewforeignpolicydirectionsHereiteratedthattheremustberoomgiventoalKeebtoimplementastronggovernmentwithouttheinterferenceoftheTNCandaljalilHesaidhewouldusehispoliticalvoicetoremindaljalilandtheTNCthattheyshouldnotmeddleanylongerinaffairsregardingtherunningofthecountryUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"SheherdNadiatkrinvic",1
"SherwoodRandallElizabethDBaconBrianSBirdDebraDChaseCynthiaHayesJeffWLebsonEricMINusratyTemimHPrattRobertTSmithBarbaraJ",1
"SherwoodRandallLiz",1
"SibereliJustinH",1
"SidereasEvyenla",1
"SidereasEvyria",1
"SieversMarcJBiomeDonaldA",1
"SimonSteven",1
"SimpsonShenoaL",1
"SingerTheodoreJWalkerBridgetteL",1
"SinghAram",1
"SinghVIkram",1
"SinghVikram]",1
"SinghVikramI",1
"SinghVIkramJ",1
"slaughtera@stategov",1
"SloatAmandaL",1
"SmithDana",1
"SmithJeannemarleE",1
"SmithPamela",1
"SokoskyRichardD",1
"SomersetAnnD",1
"SommersScottE",1
"SP_StaffAssistants",1
"SpechtLinda",1
"SpenceMatthewJCampbellKurtM",1
"SpilsburyJohnV",1
"SpringMichaelG",1
"SseilerKohHaroldHongju",1
"StaalThomasH",1
"StanleyJuliaR",1
"StarkePetra",1
"StatenVerneII",1
"SteinbergJames",1
"StephenBoswortil",1
"StephenBoswortt",1
"StevenFisher",1
"StevensJacobD",1
"StJohnJordan",1
"StowellJosephW",1
"stratcomm",1
"StricklerAdam",1
"SudanDesk",1
"SudhaSrivastava",1
"suIlivanjj@stategov",1
"SulemanArsalan",1
"Sullivan",1
"Sullivan@stategov",1
"Sullivan@stategovi",1
"Sullivanacob",1
"sullivanb@stategov",1
"SullivanDavidB",1
"SullivanDavidBStatenVerneII",1
"sullivanii@stategov",1
"sullivanij©stategov",1
"sullivanil@stategov",1
"Sullivanil@stategov",1
"Sullivanil@stategovi",1
"SullivanJacob„I",1
"SullivanJacobAttachmentsUSIPdoaMadamSecretaryAttachedandbelowpleasefindabriefbackgrounderontheUnitedStatesInstituteofPeacePleaseletmeknowifyouwouldlikeanyfurtherinformationThanksMikeUnitedStatesInstituteofPeaceBackgroundProposalsforthecreationofagovernmentpeaceagencystretchasfarbackasaproposalintocreateaPeaceOfficeonparwiththeWarDepartmentBetweenandoverbillswereintroducedinCongresstoestablishpeacerelatedagenciesdepartmentsbureausandcommitteesofCongressInCongressestablishedtheCommissiononProposalsfortheNationalAcademyofPeaceandConflictResolutionIntheCommission—knownastheMatsunagaCommissionforitsheadSenatorSparkMatsunaga—recommendedthecreationofanationalpeaceacademyInPresidentReagansignedtheUnitedStatesInstituteofPeaceActandthefirstmeetingofUSIPsBoardofDirectorstookplaceinTheUSIPActestablishedanindependentnonprofitnationalinstitutetoservethepeopleandtheGovernmentthroughthewidestpossiblerangeofeducationandtrainingsbasicandappliedresearchopportunitiesandpeaceinformationservicesonthemeanstopromoteinternationalpeaceandtheresolutionofconflictsamongthenationsandpeoplesoftheworldwithoutrecoursetoviolenceUSIPisanindependentagencyfundedbyCongresswhichservesasanintersectionbetweenthoseinvolvedinpolicyresearchfieldworkandpractitionersMorethanUSIPpolicyexpertsconductresearchonawidevarietyofcountryspecificandcrosscuttingfunctionalissuesSomeexamplesofUSIPactivitiesinclude®WorkingincountriessuchasIraqSudanNigeriaUgandaPakistanandAfghanistantomediateandfacilitatedialogueamongpartiesinconflictpromotetheruleoflawstrengthencivilsocietyandeducationsystemsandeducatingthepublicthrougheventsfilmsandotheroutreachOUSIPhasgivenout$millioningrantsforoverpeacebuildingprojectsincountries®USIPhostsstandingworkinggroupsofexpertsandpractitionersonavarietyofissuesincludingSudanSyriaKoreaIranIraqandHaiti®USIPhasfacilitatedanumberoftaskforcesincludingtheIraqStudyGroupandtherecentCongressionalCommissionontheStrategicPostureoftheUnitedStateschairedbyWilliamPerryMichaelHFuchsUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"SullivanJacobBurnsWilliam",1
"SullivanJacobCherylMills",1
"SullivanJacobcl//—ClassCONFIDENTIAL—",1
"SullivanJacobCONFIDENTIAL—",1
"SullivanJacobFeldmanDanielF",1
"SullivanJacobHiClarissaWasgoodmeetingyoutodaythankyouformeetingusinTurkeyHopeyoufoundthetripdownfromLondonworthwhileIwantedtomakesureyouhadallofJacobscontactinfoBestPhilippeUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"SullivanJacobi",1
"SullivanJacobLakhdhirKamalaS",1
"SullivanJacobNasrSValiR",1
"SullivanJacobWellsAliceG",1
"SullivanJacobYamamotoDonaldY",1
"SullivanJi@stategoV",1
"sulliyanjj@stategov",1
"SumiMehta",1
"SyedZiaS",1
"TaliaferroAaronC",1
"TanviMadan",1
"ternsuaviati",1
"TesonerMark",1
"ThaivalappilMaureenE",1
"thanleymr@stategovi",1
"TheriotNicoleD",1
"ThompsonHillaryC",1
"TibbitsNathanD",1
"TienJohnK",1
"TienJohnKTroutCliftonB",1
"TikvartDanielEAP/K",1
"TilghmanJosephF",1
"TillemannTomicah",1
"tjakesullivar",1
"tkrinvicdchen",1
"tkrinvicjustinJondoug",1
"Tobin",1
"ToddWilliamE",1
"ToilNoraF",1
"TolvNoraF",1
"TomkinsAlan",1
"TongKurtW",1
"TovNF@statedoviYuWenchiVerveerMelanneS",1
"TovNF©stategovi",1
"TovNF©stategovt",1
"TovNF©statev",1
"TovNF©statevi",1
"TovNF©stateviYuWenchiVerveerMelanneS",1
"TovNF©statevtYuWenchiVerveerMelanneS",1
"TovrastateanyVIIWenrhiVervPPrMplAnnp",1
"TownleyUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"TraciCarpenter",1
"tRamamurthyPradeep",1
"Tranklowenstein@foreignsenategovi",1
"TrejoMaria",1
"TripoliCooperation",1
"TrivelliPaulAAMBUSSOUTHCOM/SCCC",1
"Trnillscd@stategov",1
"TsouLeslieM",1
"TuckerJosephl",1
"TuellerMatthewFl",1
"TurnerMichaelA",1
"TurnerScottC@stategov",1
"TurnerScottC@stategovt",1
"TyeJohnN",1
"uisegannA",1
"UllahHaroonK",1
"UnitedAirlines",1
"UnnbertJohnW",1
"UrbanCarol",1
"USNATOLibyaDL",1
"UssakAmandaE",1
"USUN/WusersDL",1
"USUNLibyaDL",1
"USUNSANCTIONSGroup",1
"VadenAndrew",1
"VaimoroLona",1
"VaImoroU@stategov",1
"VairnoroLona",1
"VaitlaSrinivas",1
"Valerie_Jarrett@",1
"ValerieJarrett",1
"Valmorol_j@stategov",1
"ValmoroLanaJ",1
"Valmorolj@stategov",1
"ValmoroLJstategov",1
"ValmoroLona/",1
"ValmoroLonaI",1
"ValmoroLonaIhavehadaterrificfirstcoupleofdaysandamatCdcnowIamcopyingLonatoscheduleyouandIwhenitworksforyouYoursLoisUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"VermaRichard",1
"vermarr@stategov",1
"VerveerMelanneSMelanneandIjustarrivedattherestaurantitsasimplerooftopsettingwithagoodbreezeveryprivateTapasanddrinksItisagoodminutewalktwoofthoseblocksareuphillIwouldrecommenddrivingupandwalkinghome!UNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"VerveerMelanneSMSwewouldliketodoonephotoattheplanewiththelocalpoliceasyouareleavingifthatsokayLonaValmoroSpecialAssistanttotheSecretaryofStateUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"VervilleElizabethG",1
"VieheAriellaR",1
"VietorTommy",1
"VivianLinder",1
"VonZinkernagelDeborah",1
"VuAnnyT",1
"WagnerJoAnne",1
"WarlickMaryBUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"WarrenerKevinP",1
"WarrenGlennS",1
"WarrenWade",1
"WashingtonDonQ",1
"WebsterMainErinE",1
"WechselHansF",1
"WeinbergDonaldW",1
"WelkAliceG",1
"WelkeSusanF",1
"WellsAlice",1
"WellsAliceGUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"WelshCaitlinE",1
"WestThomasUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"WHAOASPOL",1
"WhiteTerryJ",1
"WhiteThomasJPoppWilliamW",1
"WiegettJoelR",1
"WilliamsAaron",1
"williamsbarreti",1
"williamsbarretSullivanJacob",1
"williamsbarrettHumaAbedin",1
"williamsbarrettMinyonMoore",1
"WilliamsGladysE",1
"WilliamsJamesH",1
"WilliamsRebecca",1
"WilliamsStephanieT",1
"WilsonKathleenA",1
"WilsonKauiR",1
"WitmireMorganG",1
"WittersJosephB",1
"YeboahDeniece",1
"YuWenchiUNCLASSIFIEDUSDepartmentofStateCaseNoFDocNoC",1
"ZambranoMariaGabriela",1
"ZhuNingchuan",1
"Zil!igenJosephH",1
"ZimmermanThomas",1
"ZongJanetS",1
